h,ηr,Ω,ψ
-4.746220156273672,0.43737161366199767,607.2991769287933,-1.0017600469115482
-3.7462201562736723,0.36849735076869533,220.9946817129993,-1.3696214229521568
-2.7462201562736723,0.5466305009956716,1416.2152804038262,1.3415387338012237
-1.7462201562736723,0.6735838164520087,2313.1587232441516,1.5105647628015113
-0.7462201562736723,0.7106806564584598,2171.126158236395,1.5030044090546761
0.25377984372632767,0.7236059695812578,535.1805769583331,1.4636190426683087
1.2537798437263277,0.7332420437635251,932.4123754087487,1.5374022264788219
2.2537798437263277,0.7479399871083657,1490.6022710873422,-1.5233401765754802
3.2537798437263277,0.7618654723542985,559.6982057552776,-1.5057090032035614
4.253779843726328,0.8108914677325532,1256.5126635006857,-1.3994041174638006
5.253779843726328,0.8122528469791973,4226.497856533636,-1.4919120715461742
6.253779843726328,0.8304504899959947,3418.7025869907216,-1.4374591680301934
7.253779843726328,0.8529370098847103,3127.7734808555983,-1.3969733750955662
8.253779843726328,0.8633690687471378,2455.0472244075163,-1.387169523534011
9.253779843726328,0.8962048291882929,3370.3406682708687,-1.3850706818788654
10.253779843726328,0.9133277490178316,3407.603786439799,-1.3963654548087252
11.253779843726328,0.9000053185218998,2943.1873988189627,-1.5009021198186234
12.253779843726328,0.8968670439106248,3105.502468322147,-1.555940885657886
13.253779843726328,0.9036060744902453,4461.71527820753,-1.55043367463921
14.253779843726328,0.9006806612069695,9472.001221617598,1.5177026752339349
15.253779843726328,0.9021922818476809,14087.710623478419,1.5632472859372792
16.253779843726328,0.9153232128851767,19465.27464995173,-1.5665057852754778
17.253779843726328,0.9031693189078435,28268.527635745188,1.5041563318085969
18.253779843726328,0.8932648195650051,24474.039982043847,1.414678455261696
19.253779843726328,0.8867839341715764,28143.624764712287,1.3875482059319368
20.253779843726328,0.8954138791833586,28509.012615937492,1.3676458016911237
21.253779843726328,0.880362563662288,28841.21043622166,1.3673269838063684
22.253779843726328,0.9209445700233767,24927.626145021335,1.373871181974168
