h,ηr,Ω,ψ
-90.6990629118914,0.7784961650420884,120.56281898168766,0.6652516950442291
-89.6990629118914,0.7837374413781122,105.43480571716809,0.7462626079506799
-88.6990629118914,0.8055624180234091,101.53474250930601,1.2803225716816127
-87.6990629118914,0.8055624180234091,101.53474250930601,1.2803225716816127
-86.6990629118914,0.896832424377861,62.085270455865,-1.4798831119776767
-85.6990629118914,0.8707972190111282,80.84471574974206,-1.5615823477472808
-84.6990629118914,0.8707972190111282,80.84471574974206,-1.5615823477472808
-83.6990629118914,0.8275073767513621,94.21407050218734,-1.2684491947923728
-82.6990629118914,0.8979934493863492,85.76898116054008,-0.9541203016256466
-81.6990629118914,0.8780776421485648,110.95417656282807,-1.0020535201918275
-80.6990629118914,0.9170870997045504,65.7511467937683,-0.6416178766232441
-79.6990629118914,0.8385721638069907,76.98509327176643,-0.33416109814234546
-78.6990629118914,0.9409080379828635,31.13853203559117,0.08318002665366728
-77.6990629118914,0.9166590232512721,34.72412117393923,0.08053545072771766
-76.6990629118914,0.8713044136778659,65.51043606903286,0.4201374187863597
-75.6990629118914,0.9380790189403022,52.28493732210938,0.6861519886247219
-74.6990629118914,0.9380790189403022,52.28493732210938,0.6861519886247219
-73.6990629118914,0.8638160665214882,63.229408391933575,1.0333634906782811
-72.6990629118914,0.8638160665214882,63.229408391933575,1.0333634906782811
-71.6990629118914,0.8541317498074905,84.19213260310758,-1.423265596655535
-70.6990629118914,0.8541317498074905,84.19213260310758,-1.423265596655535
-69.6990629118914,0.8544418558260471,82.91463535983662,-1.4304387739305884
-68.6990629118914,0.7847014109926738,87.69878617487433,-1.0946395389879782
-67.6990629118914,0.8544776341312174,94.61304874816108,-0.7857766967270242
-66.6990629118914,0.8690888694850606,69.68386014834347,-0.8427390090250205
-65.6990629118914,0.8690888694850606,69.68386014834347,-0.8427390090250205
-64.6990629118914,0.8011811475717269,83.16390758394549,-0.5264086854129802
-63.6990629118914,0.8528900440219606,77.68659618981097,-0.2812631085607318
-62.6990629118914,0.8528900440219606,77.68659618981097,-0.2812631085607318
