pdb_id,mean_beta,std_beta,max_beta,min_beta,at_content,seq_len
2OQ4,-7.401486830834377e-17,0.9666818739402037,1.7444790849289202,-0.9877960107445474,0.43902439024390244,41
442D,-7.116814260417671e-17,0.20973990043343402,0.2892619644983164,-0.46462617767517866,0.3333333333333333,24
7U7E,-1.4538634846281812e-16,0.7113521400728343,1.174974486808489,-0.711500635413052,0.55,20
1K8N,-5.163828021512356e-17,0.3358123132060378,0.568084770984784,-0.630460093080911,0.46153846153846156,26
1K8P,1.708035422500241e-17,0.4636716160776541,0.6231395062044273,-0.8828442884857519,0.4,20
2N9H,-5.551115123125783e-17,0.22799400784742396,0.40949434176689814,-0.41910098956592007,0.4782608695652174,23
2LFX,2.850572630794321e-17,0.21085318824234586,0.40251853129635695,-0.4356443505060736,0.5652173913043478,23
9PHM,2.492337402219739e-16,0.27898932685565997,0.6225864029181342,-0.3217481555031081,0.4444444444444444,126
1Y8V,2.6914497566670462e-17,0.48531616337583505,1.122646633665864,-0.5364600330276309,0.3333333333333333,18
2WB2,4.369627782730768e-17,0.31504007861938554,0.4766650148840187,-0.5473136994586418,0.32142857142857145,28
1SNH,2.686023446673766e-16,0.39860717134763657,0.7590069499011144,-0.5770621587798936,0.3,20
6WSP,-1.5419764230904951e-16,0.35661904262917116,0.6489208351895535,-0.5392307256609239,0.42857142857142855,42
8DXX,-1.5892305392819782e-17,0.4972952330895561,0.9027962108690873,-0.8104459623593758,0.47619047619047616,42
1ZEW,4.9439619065339e-17,0.17589639012012737,0.3213890444836387,-0.4537238392487147,0.4,20
1EEK,5.387847031269142e-17,0.240371760579074,0.3928437587767787,-0.37259480257853994,0.45454545454545453,22
6RIN,1.7628541269385933e-16,0.9641280508325745,2.6979778376230126,-0.767078239710525,0.42592592592592593,54
7PY5,2.0096442091316126e-16,0.9126429997491466,2.7876665631350965,-0.7630375860137395,0.3484848484848485,66
6X8C,-8.867459586479929e-17,0.1252396154600364,0.30550420895814556,-0.16665863990405363,0.42857142857142855,42
5YTZ,-2.3510605227356256e-16,0.1932276969600284,0.28648632132493224,-0.36648762533011114,0.3333333333333333,12
2D45,0.0,0.7536786243885197,1.3027960289149723,-0.9623496067504076,0.7543859649122807,57
2FIL,-1.206764157201257e-16,0.8862203761980136,2.1101224454567844,-0.8164763295951636,0.25,32
3BEP,1.5959455978986625e-16,0.22920236156683915,0.41272551686993697,-0.44359656206094056,0.5833333333333334,24
5X11,-1.2027416100105862e-16,0.6551423020021974,1.293003149236834,-0.9988703844705634,0.6785714285714286,112
4U92,-2.846725704167068e-18,0.5960375580858561,1.3506435885857262,-0.6970889978213461,0.16666666666666666,12
5USA,1.1518563880486e-16,0.23943383485992367,0.3336309711048777,-0.4870683465657402,0.4,10
8V7H,1.3216940769347102e-16,0.7087292979431228,1.1295755723643075,-0.7583666587291507,0.47368421052631576,19
9MP1,1.896631000401309e-16,0.3116449059340649,0.47090377898599334,-0.5379656646803773,0.4,20
6FBD,-4.7580986769649563e-17,0.4635484945874898,0.48745621472581435,-0.8457650566179975,0.3333333333333333,27
3F2D,-9.25185853854297e-18,0.3921888471562825,0.532666163084795,-0.8055074424167217,0.3870967741935484,31
6WSV,1.1102230246251565e-16,0.38589644301009113,0.6126732872743633,-0.6503591339575089,0.42857142857142855,42
1SRS,-2.6727591333568582e-17,0.3452157745739574,0.5788051600245383,-0.48845592152152656,0.5135135135135135,37
8VMZ,5.3097622916855314e-17,0.5882888885211882,0.9746590240566138,-0.7800486274502992,0.6190476190476191,42
2LBI,1.3539305178355567e-16,0.16699290962536534,0.24743173668332893,-0.42291827084128963,0.3333333333333333,24
4RTL,-3.027880976250427e-17,0.46016554973136614,0.6493353730358661,-0.746110990377171,0.6363636363636364,22
6XFF,-8.663103904272055e-17,0.2886722891451564,0.35729542394721286,-0.4367194791140504,0.38095238095238093,42
8DAP,-3.469446951953614e-17,0.24986011771497932,0.44425169460076475,-0.4058780026278508,0.4166666666666667,144
7ICO,-1.2104514921260386e-16,0.19944682076953782,0.3033150087462984,-0.3599222537357033,0.5384615384615384,13
8XAX,0.0,0.0,0.0,0.0,0.38461538461538464,26
5KFS,-1.5067312477055697e-16,0.7248023440559407,1.185619886015206,-0.7539827118296921,0.55,20
6VEZ,1.212068080311537e-16,0.5298121726365853,1.0042256854723164,-0.7452364706992824,0.29411764705882354,17
7SE1,1.001020759907928e-16,0.4957496217513195,0.9183230430490023,-0.7545078222114728,0.45,40
8XAY,0.0,0.0,0.0,0.0,0.6153846153846154,26
8P5E,0.0,0.0,0.0,0.0,1.0,26
3MR3,4.625929269271485e-18,0.5717065487789895,0.873764723479015,-0.7049861024346218,0.47368421052631576,19
2NOL,-4.394632805807911e-17,0.4304388060661592,1.0864437835292864,-0.7461600596925897,0.3448275862068966,29
3G2A,-6.204187490552346e-17,0.19750059334572556,0.23026945209527724,-0.4113571392654181,0.16666666666666666,12
3PX4,0.0,0.0,0.0,0.0,0.40540540540540543,37
9N5D,1.0517902338554114e-16,0.974184859852516,1.9711093283965393,-0.8726087635013245,0.4489795918367347,49
4RTR,-1.3625464393126921e-16,0.6367259558123246,0.7183127211558521,-0.9309047782756137,0.8260869565217391,23
8UKQ,-1.200241107702872e-17,0.9894908824578581,1.988007256569324,-0.8559071495721177,0.4090909090909091,44
4BWM,-8.458842092382145e-17,0.9911412687281695,2.5919516481554745,-0.9480637425449356,0.18181818181818182,22
5UZF,2.7043894189587146e-17,0.18548654123028777,0.23890514389611855,-0.46547659216451015,0.5833333333333334,24
2E1C,5.184532048957099e-17,0.12918838853544964,0.23344949574939514,-0.2301389965604504,0.7647058823529411,34
1XSP,-1.8397981550931167e-16,0.34401488468274394,0.5454709066824208,-0.6686136311561035,0.2727272727272727,22
8OYA,0.0,0.0,0.0,0.0,0.3269230769230769,52
2EUW,-1.4601846302135212e-16,0.2912696968413624,0.4258227898188764,-0.8039068475271032,0.5555555555555556,27
1S2R,-1.7529837230923523e-17,0.192233573383848,0.3947235493027959,-0.42152303151316634,0.5,24
8F1S,-1.0202049415474412e-16,0.14699627544576638,0.1826140785999894,-0.3758682930246572,0.5,24
8DYK,-1.1978722107797742e-16,0.12141453516643537,0.21055317068802382,-0.18928914929548057,0.3333333333333333,12
5OCZ,5.898059818321144e-17,0.2687945444253379,0.33818880426998693,-0.523406358252415,0.5454545454545454,22
4UBB,1.3934431839683087e-16,0.731045168705882,1.5562805463962386,-0.8769643917355019,0.25806451612903225,31
