pdb_id,mean_ηr,mean_Ω,std_ηr,len
102D.cif,0.9427841534754622,33.708946376186205,0.026889635840611083,38.22580337980173
103D.cif,0.831981459420055,22.838044025031138,0.11800789099460149,43.43196353115793
106D.cif,0.9132842312466396,30.449464315032337,0.023666956364640807,14.054143944468159
107D.cif,0.8147260872477872,83.82053182150544,0.12232223013342863,21.495769626580163
109D.cif,0.9240696613344519,53.03127930640076,0.0301768146175139,38.8804774346849
10MH.cif,0.9363801226124386,246.5919387234262,0.04694499627933403,42.040103333359355
111D.cif,0.9325557452727934,45.79006556628731,0.025175949879286494,38.717397283594266
112D.cif,0.944337350460184,35.93213353045782,0.01366437318537564,39.28161760103909
113D.cif,0.937921325089547,33.508026855613025,0.025362402267267537,38.63192803093467
117D.cif,0.978166347484295,52.996413801580736,0.006561283549611938,26.25029806183025
121D.cif,0.9280792926348026,46.0912306250428,0.0260869902111475,38.4369877165567
123D.cif,0.8584936238282036,105.1050163917915,0.0733642070181065,34.708938387579884
126D.cif,0.9198591120302559,44.269539453019355,0.04228824298311871,31.988098358640457
128D.cif,0.9156986562637968,61.28833917617464,0.03912546993704215,39.038956633928265
129D.cif,0.9207663102059571,57.434226577026294,0.03715507275001164,39.29536385032192
130D.cif,0.9215982171853165,42.44421369279439,0.038569101168655036,39.30745026007253
131D.cif,0.9794119833617816,19.34825987271509,0.004540483103333737,17.229330119546475
133D.cif,0.9615659868774106,21.95055558081744,0.01630469242128274,17.500995623241383
134D.cif,0.7909826725884912,132.67604426304501,0.1262385905631559,31.436713387251118
135D.cif,0.803684364561724,120.38791075837406,0.11748075043890761,31.959046201638124
139D.cif,0.08017500990090708,28.76085304091207,0.08695611028314451,21.54663579705791
141D.cif,0.9154061153775827,122.26525426476871,0.04215416892150969,33.43535560716201
142D.cif,0.8850173743259554,105.33348217235509,0.08342853183472265,34.7277728054847
143D.cif,0.6758277522747204,120.3454036994907,0.16172793048145093,26.606271377549298
144D.cif,0.9094416573673172,80.60296564457735,0.053303922236622475,41.6375910479508
146D.cif,0.8325032258469491,51.36634110004888,0.09303128975493671,22.200335634313998
148D.cif,0.8079198859735526,127.4220359625941,0.14826763688957167,20.318766035283403
153D.cif,0.9326449300558828,50.52927155950328,0.036847839697409734,38.07912542957235
156D.cif,0.597548786561139,174.13185989080398,0.07007919246192337,21.423997386935355
166D.cif,0.931740676906475,40.45312884147085,0.029838129157680002,38.92465295623968
167D.cif,0.8896020394502467,80.5476805592108,0.05103780264569299,33.40887848606239
169D.cif,0.8918409720970206,260.4191008945918,0.03564438082024249,31.625222304934724
173D.cif,0.9807579417598568,41.09945490438254,0.022962323593363372,43.90292145363927
177D.cif,0.7306468099681381,153.6408654626596,0.1200783744146262,27.35490241012804
179D.cif,0.9170640171762732,35.879847888714835,0.02382798151670717,13.330895915754425
182D.cif,0.9218044849317611,44.493518923712514,0.023422259142037487,24.853070392954297
186D.cif,0.6937685073541406,126.63209659097984,0.19012791176721922,24.089488088375873
190D.cif,0.7994814105319732,69.60413542072168,0.2160336053916279,27.52562515257138
191D.cif,0.9189470981262868,78.82269317633008,0.08146844768138804,19.17663100604585
196D.cif,0.9285059120718278,53.253921996422086,0.03617356401109502,31.39664152921103
197D.cif,0.7740312975915833,219.67166316067596,0.04678806829672443,28.210523906728618
198D.cif,0.954370643330019,57.07005984461963,0.013312745029676507,46.162964613646395
1A1F.cif,0.9347560755213176,86.02408232598357,0.034542768951291894,32.82618796761421
1A1J.cif,0.9431531852249829,64.51657677764508,0.02477504897149179,33.13136099691131
1A1L.cif,0.9440421164821523,47.77560719295425,0.021248853477159026,32.4765435487733
1A2E.cif,0.8925221104993325,76.41259933937894,0.07155684420985176,37.038563736112785
1A35.cif,0.9457685302677377,34.61729603413693,0.018155706010227445,69.24180724950396
1A6H.cif,0.7086507101154386,140.23554620618145,0.13960844754210633,24.183124907770825
1A73.cif,0.8942322465361521,176.78870868941019,0.0533535579623178,69.02384400796342
1A83.cif,0.9224295328757509,37.002008755293495,0.03849603460568037,29.994173780729554
1A8W.cif,0.6914155890023838,197.62015570463515,0.14929778804132376,21.242736198397644
1A9H.cif,0.8909333237079171,42.5350426449059,0.07262726725736655,37.685150659954
1A9J.cif,0.9054102907500673,52.24919728008592,0.04408735234608865,38.121688977867535
1AC3.cif,0.7425426328013506,237.80867009265376,0.09885946808025478,35.86277317062208
1AC7.cif,0.9195320613579585,51.75841459264235,0.06051455514475929,26.966078194056397
1AC9.cif,0.899501623491862,122.93710584591648,0.04006027197193747,35.11588890712686
1AFF.cif,0.8527665836048411,1.2125326757574395,0.14560407137796952,16.866921152509498
1AFZ.cif,0.9454969764717387,30.617301191755825,0.006430640208414046,36.5424413759525
1AGH.cif,0.9405705610897589,38.89629124975793,0.017272892532708695,34.77957001129124
1AGU.cif,0.9355603291174418,36.70076325490186,0.02592535230169914,38.20671122757238
1AGZ.cif,0.8897592566194282,94.8963931414921,0.06784588316136796,36.34960162710255
1AHD.cif,0.8913061591027132,134.25225966370854,0.06005009565179157,43.897982407709875
1AIS.cif,0.8724672706004252,179.70485675492148,0.062465383218177885,50.63387177588643
1AL9.cif,0.9354238543024616,31.314985630920944,0.01730607006693061,30.082770092223903
1AM9.cif,0.9125449566772884,80.36309306229812,0.05614290058189506,123.16035029058341
1AO1.cif,0.947118258093578,16.148413615557516,0.014506634564977519,25.165322374407943
1AO9.cif,0.8969791225832501,51.77827301811676,NaN,19.479426137899644
1AOI.cif,0.8584636632554583,16472.24692811139,0.12758370988152293,99.6974048178171
1AU6.cif,0.6191320613937829,10.87885216488642,NaN,24.326699156847145
1AUL.cif,0.8771305274881693,112.32257049390857,0.03378910869598236,35.07533361491339
1AX6.cif,0.8993540316801616,53.49262456044332,0.06781895440450497,33.220932354817975
1AX7.cif,0.9054432676465625,95.957764532829,0.045858439382531625,38.960951333308465
1AXL.cif,0.8741752611460776,83.0799144687025,0.10856471908554943,30.14269489192005
1AXO.cif,0.8974842533993012,79.64384084125287,0.06140718080002384,47.485329402916655
1AXU.cif,0.8649794419947937,96.79637575644367,0.08347927544526736,37.39063535575959
1AZ0.cif,0.8728051932187137,126.5009578049401,0.0602251671745155,32.640208615142555
1AZP.cif,0.8079082254213373,151.83425259328496,0.11636443760347563,28.48598585164992
1B3P.cif,0.6312020035050937,52.00724839667593,0.07179482304437568,24.84233708339906
1B5K.cif,0.9181862182171294,73.81893880260193,0.03737569418461993,30.53564124757854
1B60.cif,0.8369427955684668,145.35229285134122,0.07294428085170411,28.439841181407257
1B6Y.cif,0.8694403227124958,113.09414995629929,0.07581499884688728,36.73953635812626
1B72.cif,0.9358077757740422,70.08281030932429,0.03109479054983382,65.8358582921376
1B8I.cif,0.9405226396130092,47.156293237617994,0.023430655003163294,55.96173296622068
1B94.cif,0.8946573429741598,105.29349513039205,0.05016101295486635,32.82997413781526
1B96.cif,0.8859676029548958,124.95573509062427,0.0574514337615582,32.69801991110333
1BBX.cif,0.9432557997205264,45.872611662875556,0.029585468503801386,48.90806550543658
1BC7.cif,0.8413201105774357,141.559215562132,0.06511359320379231,36.62995709040898
1BDH.cif,0.9511752166526662,32.73438433997778,NaN,53.521921210297904
